Project,Client,Title,Duration
SOS2021-01,,#1 Haciendo L02,00:00:30
SOS2021-01,,"#10 Instalar Postman, revisar plantilla de grupo y servidor web NodeJS",02:21:00
SOS2021-01,,#11 Implementar Servidor NodeJS con express,03:01:22
SOS2021-01,,#12 Node JS y ruta de mis datos,02:19:00
SOS2021-01,,#13 Crear colección en POSTMAN y leer Piazza,00:49:00
SOS2021-01,,#14 Servidor NodeJS y ruta de mis datos,03:06:00
SOS2021-01,,#15 Registro de horas con Toggl,05:54:34
SOS2021-01,,#16 Creación API REST,02:01:00
SOS2021-01,,#17 Resolución tareas para el martes 6 de abril,06:07:39
SOS2021-01,,#18 Implementar tabla azul y códigos de error,03:01:00
SOS2021-01,,#19 Enlaces index.html,02:22:00
SOS2021-01,,#2 Clonación del repositorio,00:14:10
SOS2021-01,,#20 Configuración pruebas F05,02:11:00
SOS2021-01,,#21 Código modular de la API y publicar documentación de postman,02:54:00
SOS2021-01,,#22 Implementar busquedas,06:17:43
SOS2021-01,,#23 Primer entregable,05:00:00
SOS2021-01,,#23 Primer entregable JBR,01:36:00
SOS2021-01,,#24 Persistencia de mi API y realizar busquedas,03:13:00
SOS2021-01,,#25 Svelte,03:26:00
SOS2021-01,,#26 Realizar front-end para la API,05:01:00
SOS2021-01,,#27 vista en la ruta http://sos2021-01.herokuapp.com/#/info,02:59:40
SOS2021-01,,#28 Implementar en FrontEnd,08:23:53
SOS2021-01,,#3 Extensión de Chrome de Toggl Button,00:00:43
SOS2021-01,,#30 Realización tareas D02,06:05:50
SOS2021-01,,#31 Actualizar frontend,03:22:00
SOS2021-01,,#32 Paginación y búsqueda,03:27:00
SOS2021-01,,#33 Hacer gráfica,04:22:00
SOS2021-01,,#34 vídeo,00:12:41
SOS2021-01,,#35 natality-stats Visualización e Integración,07:05:00
SOS2021-01,,#36 End-point de mi API,03:25:00
SOS2021-01,,#37 Realización D03,13:12:14
SOS2021-01,,#38 Integraciones de grupos de SOS,07:48:00
SOS2021-01,,#38 ultimando detalles D03,02:05:00
SOS2021-01,,#39 Realización e2e,01:30:04
SOS2021-01,,#4 Creación de una tarea,00:01:32
SOS2021-01,,#5 Nueva milestone,03:13:10
SOS2021-01,,#6 TAREAS F02,01:53:20
SOS2021-01,,#7 TAREAS F02 Parte 2,01:08:00
SOS2021-01,,#8 Sincronización del repositorio del grupo,00:27:00
SOS2021-01,,#9 Revisar Piazza,00:20:00
,,#29 realizacion de la vista en heroku,02:00:46
,,#30 Realización tareas D02,00:00:04
,,#30 Realización taresas D02,00:00:35
,,,00:00:02
